local_name	era	creator	source_page	direct_url	license	intended_use
terminal-back.png	dos-bbs	runningman	https://graphics-collective.neocities.org/	https://graphics-collective.neocities.org/images/buttons/runningman-go_back.png	demo-only	BBS navigation plate
terminal-forward.png	dos-bbs	runningman	https://graphics-collective.neocities.org/	https://graphics-collective.neocities.org/images/buttons/runningman-go_forward.png	demo-only	BBS navigation plate
guestbook.png	personal-web	lockheartlove	https://graphics-collective.neocities.org/	https://graphics-collective.neocities.org/images/buttons/lockheartlove-guestbook.png	demo-only	Personal homepage guestbook
proud-webmaster.png	personal-web	lockheartlove	https://graphics-collective.neocities.org/	https://graphics-collective.neocities.org/images/buttons/lockheartlove-proudwebmaster.png	demo-only	Personal homepage badge
under-construction.gif	geocities	crawtterly	https://graphics-collective.neocities.org/	https://graphics-collective.neocities.org/images/buttons/crawtterly-under-construction.gif	demo-only	Construction banner
web-design.gif	geocities	cyber-rot	https://graphics-collective.neocities.org/	https://graphics-collective.neocities.org/images/buttons/cyber-rot-webdesign.gif	demo-only	Homepage design badge
contact.png	aol-98	lockheartlove	https://graphics-collective.neocities.org/	https://graphics-collective.neocities.org/images/buttons/lockheartlove-contact.png	demo-only	Buddy contact button
heart.png	aol-98	1dkreally	https://graphics-collective.neocities.org/	https://graphics-collective.neocities.org/images/buttons/1dkreally-heart.png	demo-only	Buddy profile badge
brave.png	dot-com	y2kid	https://graphics-collective.neocities.org/	https://graphics-collective.neocities.org/images/buttons/y2kid-brave.png	demo-only	Venture portal badge
winscp.png	dot-com	anemptyblissbeyondthisworld	https://graphics-collective.neocities.org/	https://graphics-collective.neocities.org/images/buttons/anemptyblissbeyondthisworld-winSCP.png	demo-only	Data transfer badge
bucket-now.png	windows-xp	1dkreally	https://graphics-collective.neocities.org/	https://graphics-collective.neocities.org/images/buttons/1dkreally-bucketnow.png	demo-only	Desktop task button
buckets.png	windows-xp	1dkreally	https://graphics-collective.neocities.org/	https://graphics-collective.neocities.org/images/buttons/1dkreally-buckets.png	demo-only	Desktop task button
hollow-knight.gif	flash-games	vidapon	https://graphics-collective.neocities.org/	https://graphics-collective.neocities.org/images/buttons/vidapon-Hollow_Knight_button.gif	demo-only	Game portal badge
rain-world.gif	flash-games	vidapon	https://graphics-collective.neocities.org/	https://graphics-collective.neocities.org/images/buttons/vidapon-Rain_World_button.gif	demo-only	Game portal badge
glitter-town.gif	myspace	neptunex3	https://graphics-collective.neocities.org/	https://graphics-collective.neocities.org/images/buttons/neptunex3-glittertown3.gif	demo-only	Profile glitter badge
bored.png	myspace	lockheartlove	https://graphics-collective.neocities.org/	https://graphics-collective.neocities.org/images/buttons/lockheartlove-bored.png	demo-only	Profile mood badge
youtube-dl.png	early-video	anemptyblissbeyondthisworld	https://graphics-collective.neocities.org/	https://graphics-collective.neocities.org/images/buttons/anemptyblissbeyondthisworld-youtube-dl-3.png	demo-only	Video utility badge
ao3.gif	early-video	cyber-rot	https://graphics-collective.neocities.org/	https://graphics-collective.neocities.org/images/buttons/cyber-rot-ao3gif.gif	demo-only	Media sharing badge
mobile-friendly.png	social-mobile	debtdeath	https://graphics-collective.neocities.org/	https://graphics-collective.neocities.org/images/buttons/debtdeath-mobilefriendly.png	demo-only	Mobile badge
threads.png	social-mobile	lockheartlove	https://graphics-collective.neocities.org/	https://graphics-collective.neocities.org/images/buttons/lockheartlove-threads.png	demo-only	Social badge
netlify.png	cloud	lockheartlove	https://graphics-collective.neocities.org/	https://graphics-collective.neocities.org/images/buttons/lockheartlove-netlify.png	demo-only	Cloud deployment badge
mastodon.png	cloud	anemptyblissbeyondthisworld	https://graphics-collective.neocities.org/	https://graphics-collective.neocities.org/images/buttons/anemptyblissbeyondthisworld-mastodon.png	demo-only	Federated cloud badge
blockchain.gif	algorithmic	cyber-rot	https://graphics-collective.neocities.org/	https://graphics-collective.neocities.org/images/buttons/cyber-rot-blockchain.gif	demo-only	Algorithm market badge
graphic-design.png	algorithmic	cyber-rot	https://graphics-collective.neocities.org/	https://graphics-collective.neocities.org/images/buttons/cyber-rot-graphicdesign.png	demo-only	Feed design badge
diy.png	ai-slop	anemptyblissbeyondthisworld	https://graphics-collective.neocities.org/	https://graphics-collective.neocities.org/images/buttons/anemptyblissbeyondthisworld-DIY.png	demo-only	Anti-template badge
no-no-no.png	ai-slop	1dkreally	https://graphics-collective.neocities.org/	https://graphics-collective.neocities.org/images/buttons/1dkreally-NONONO.png	demo-only	Slop rejection badge
apollo.png	cosmic	1dkreally	https://graphics-collective.neocities.org/	https://graphics-collective.neocities.org/images/buttons/1dkreally-apollo.png	demo-only	Cosmic mission badge
artemis.png	cosmic	1dkreally	https://graphics-collective.neocities.org/	https://graphics-collective.neocities.org/images/buttons/1dkreally-artemis.png	demo-only	Cosmic mission badge
ferry.gif	dot-com	breaker-one	https://graphics-collective.neocities.org/	https://graphics-collective.neocities.org/images/buttons/breaker-one-ferry.gif	demo-only	Animated dot-com banner
headache.gif	myspace	crawtterly	https://graphics-collective.neocities.org/	https://graphics-collective.neocities.org/images/buttons/crawtterly-headache.gif	demo-only	Animated profile mood
static.gif	algorithmic	mia.sinister.gay	https://graphics-collective.neocities.org/	https://graphics-collective.neocities.org/images/buttons/mia.sinister.gay-88x31static.gif	demo-only	Animated feed static
